district;city;name;jan2021;feb2021;mar2021;apr2021;may2021;jun2021;jul2021;aug2021;sep2021;oct2021;nov2021;dec2021;jan2022;feb2022;mar2022;apr2022;may2022;jun2022;jul2022;aug2022;sep2022;oct2022;nov2022;dec2022;jan2023;feb2023;mar2023;apr2023;may2023;jun2023;jul2023;aug2023;sep2023;oct2023;nov2023;dec2023;jan2024;feb2024;mar2024;apr2024;may2024;jun2024;jul2024;aug2024;sep2024
Оренбургская область;Оренбург;Оренбург;90.5;89.61;101.7;96.45;97.31;97.98;93.76;99.52;105.45;104.12;94.55;107.61;107.61;100.58;155.58;154.66;156.27;153.35;142.2;143.03;154.66;154.85;156.03;152.02;149.49;146.32;146.32;148.14;139.94;145.68;150.34;154.01;154.75;154.75;151.1;151.64;151.33;150.72;148.13;157.39;155.21;156.94;158.0;155,95;154,61
Оренбургская область;Бузулук;Бузулук;68.65;68.65;72.22;72.78;73.94;73.94;75.33;75.33;78.83;78.83;77.75;77.67;78.49;78.96;109.58;128.03;131.65;131.65;122.47;109.59;109.11;116.8;121.89;125.39;125.49;127.39;127.06;124.26;125.7;124.75;125.45;126.95;130.47;132.53;133.08;128.22;136.67;131.44;131.59;133.29;131.76;126.12;127.47;129,36;130,65
Оренбургская область;Орск;Орск;91.13;93.39;86.68;92.46;95.83;95.83;93.85;93.7;89.65;92.44;93.51;91.48;102.57;102.01;162.46;171.45;176.27;174.6;170.16;176.97;173.67;178.65;170.63;170.63;161.25;161.01;161.01;169.92;173.48;167.5;166.6;167.21;177.16;179.73;170.13;173.9;153.46;143.81;136.35;147.56;137.59;142.56;140.5;150,89;145,55
Пензенская область;Другое;Пензенская область;78.61;79.31;79.22;80.02;80.35;84.11;83.8;84.11;82.69;84.16;85.9;85.38;82.05;83.72;100.88;113.4;113.94;119.5;119.81;119.92;123.22;125.29;124.24;125.66;124.79;124.81;126.61;126.57;127.11;125.6;126.26;127.82;128.59;129.02;128.05;126.48;127.26;129.16;128.2;128.74;126.19;124.93;126.98;126,6;126,8
Пензенская область;Пенза;Пенза;75.48;75.67;75.83;77.08;76.97;80.96;81.75;81.06;79.78;84.27;84.69;84.69;82.09;83.78;105.83;114.84;114.84;121.02;121.88;123.89;127.41;130.51;127.77;127.83;127.37;127.37;128.0;128.0;128.81;126.61;128.38;128.79;127.7;129.42;127.35;124.33;125.83;128.63;131.15;131.15;126.34;126.25;128.38;127,63;127,63
Пензенская область;Кузнецк;Кузнецк;87.07;89.79;88.3;87.05;86.02;89.2;90.81;90.81;91.66;90.81;97.16;96.54;84.37;84.99;92.28;105.96;110.05;109.45;108.27;108.27;110.79;110.79;110.79;114.34;115.82;114.71;116.36;117.76;115.65;117.79;117.5;122.88;122.16;120.85;121.24;122.14;119.27;122.74;124.64;123.72;124.38;122.07;123.94;124,12;125,2
Пензенская область;Сердобск;Сердобск;80.62;81.1;81.51;82.76;85.74;89.3;83.77;87.49;83.58;77.69;79.34;77.26;79.77;82.34;93.27;115.73;114.68;123.99;123.92;118.2;121.51;122.26;125.53;129.25;124.97;126.1;131.7;130.19;132.32;129.6;127.65;129.33;137.3;135.27;136.5;137.22;139.1;136.74;122.22;125.79;127.37;123.42;125.36;125,66;125,66
Самарская область;Самарская область;Самарская область;78.8;76.87;76.8;77.17;79.78;81.93;85.35;86.07;87.25;90.65;89.56;90.8;88.76;90.28;100.98;118.45;121.01;118.46;118.4;119.45;119.53;122.17;123.39;123.68;122.82;123.06;120.72;119.53;120.03;121.53;125.09;125.81;127.98;129.38;130.41;130.61;114.42;113.68;111.35;110.55;110.56;111.28;109.76;110,93;111,49
Самарская область;Самара;Самара;75.1;70.41;69.78;69.03;72.09;74.76;81.54;82.76;84.39;87.68;85.04;87.67;89.75;93.02;105.14;117.99;119.11;115.54;115.54;119.58;119.04;120.88;121.85;124.35;124.99;126.11;124.21;122.84;122.84;126.63;132.58;134.18;135.43;137.03;138.57;137.76;116.58;115.26;112.06;112.06;113.31;115.48;112.45;112,45;112,45
Самарская область;Сызрань;Сызрань;83.77;83.45;85.16;84.5;85.84;84.98;82.01;83.59;83.28;86.66;89.5;89.75;93.3;93.19;95.6;109.21;110.79;116.07;114.09;114.09;119.19;110.94;110.94;110.94;112.72;112.72;113.46;110.94;112.32;112.32;113.93;115.4;118.32;127.43;131.38;131.38;118.41;117.67;118.04;113.88;107.02;111.92;112.33;113,84;113,29
Самарская область;Тольятти;Тольятти;80;81.25;81.25;83.05;85.83;85.99;85.34;85.34;85.37;90.37;90.95;90.1;77.38;75.91;86.04;114.79;116.42;113.86;114.95;111.62;111.64;115.72;117.23;115.28;112.59;111.23;106.27;106.26;108.72;106.54;105.6;104.56;108.2;107.6;107.68;110.05;111.79;111.16;109.6;107.77;107.54;104.94;104.89;107,68;109,61
Самарская область;Отрадный;Отрадный;92.1;95.39;96.94;100.27;100.9;107.78;108.52;107.78;110.76;110.49;110.49;110.49;110.49;111.73;122.28;137.5;151.14;148.36;146.37;143.58;143.58;154.66;157.4;151.82;145.76;145.76;145.76;143.35;140.71;140.71;144.76;144.76;147.47;147.47;146.18;146.18;106.48;108.72;107.23;107.1;105.87;104.31;105.94;109,07;109,84
Саратовская область;Другое;Саратовская область;67.6;68.18;68.33;70.09;70.12;72.83;72.79;74.67;72.96;74.19;75.71;79.36;84.15;83.44;92.1;110.59;112.07;110.56;113.89;115.46;113.55;114.56;114.56;115.99;115.46;120.15;119.09;119.37;127.62;121.08;122.14;124.32;124.9;126.34;125.63;124.59;130.56;132.16;128.89;127.47;127.45;128.38;128.21;126,81;127,58
Саратовская область;Саратов;Саратов;70.7;71.5;71.32;74.31;74.31;75.05;75.43;78.03;76.8;76.87;78.78;83.99;92.58;90.75;97.8;113.53;110.56;111.61;116.25;117.37;113.09;113.08;113.08;112.99;110.97;116.92;116.06;117.06;131.44;120.31;119.55;120.89;122.04;122.74;122.59;122.11;124.86;126.92;122.22;122.37;121.37;122.8;122.34;120,2;121,64
Саратовская область;Балаково;Балаково;57.24;57.86;57.29;57.29;57.29;66.29;65.34;65.34;62.7;64.76;64.76;64.76;65.11;67.85;82.57;103.32;114.4;108.82;112.33;115.34;115.34;115.34;115.34;121.69;125.62;129.32;129.32;129.32;125.24;125.24;131.25;138.6;136.76;140.43;134.84;134.84;154.08;155.69;155.69;155.69;155.69;155.69;157.02;157,02;157,02
Саратовская область;Балашов;Балашов;70.85;69.94;73.8;71.49;71.49;75.38;73.71;75.22;70.66;78.51;80.94;83.22;83.52;82.42;92.5;118.02;123.67;114.12;114.12;116.43;121.83;127.49;127.49;127.49;127.49;130.8;129.01;126.52;127.03;129.74;132.82;132.82;133.32;133.18;133.18;133.18;139.45;139.45;137.85;135.93;138.32;138.32;138.32;138,77;138,77
Саратовская область;Ртищево;Ртищево;63.8;64.22;64.71;65.24;65.71;66.71;67.72;68.72;69.25;70.26;71.26;72.26;55.43;56.79;60.24;84.31;93.25;96.24;92.99;92.99;93.0;97.1;97.1;102.73;102.7;100.35;95.59;95.59;95.59;95.59;95.59;95.59;97.98;104.12;111.01;98.27;106.38;106.38;106.38;82.68;88.62;88.62;86.83;;
Ульяновская область;Другое;Ульяновская область;66.25;67.86;70.8;70.91;70.18;71.21;71.49;74.3;75.71;72.67;77.81;80.33;74.8;76.71;83.12;97.05;101.84;101.55;101.5;101.23;102.44;106.32;108.73;108.38;112.92;109.9;110.19;111.22;112.51;111.95;111.1;113.86;115.93;116.13;115.4;117.48;111.94;112.48;112.4;111.84;112.46;113.53;113.09;112,85;112,6
Ульяновская область;Ульяновск;Ульяновск;70.66;72.14;75.73;76.03;74.97;76.14;76.43;80.12;81.61;76.62;83.14;86.83;79.41;81.82;87.36;101.56;108.18;107.77;107.43;105.59;106.61;110.18;113.47;112.95;118.14;117.61;117.73;118.59;119.14;115.76;113.41;118.58;118.58;119.46;119.46;120.62;110.43;110.43;109.22;109.14;110.25;110.51;110.1;110,76;110,76
Ульяновская область;Димитровград;Димитровград;54.21;56.16;57.34;56.93;57.09;57.72;57.99;58.38;59.6;61.87;63.25;62.56;62.22;62.76;71.55;84.74;84.5;84.55;85.28;89.3;91.03;95.78;95.78;95.91;98.33;88.36;89.13;90.66;94.01;101.32;104.66;100.67;108.53;106.84;104.08;108.73;116.18;118.26;121.37;119.46;118.7;122.05;121.51;118,74;117,77
