district;city;name;jan2021;feb2021;mar2021;apr2021;may2021;jun2021;jul2021;aug2021;sep2021;oct2021;nov2021;dec2021;jan2022;feb2022;mar2022;apr2022;may2022;jun2022;jul2022;aug2022;sep2022;oct2022;nov2022;dec2022;jan2023;feb2023;mar2023;apr2023;may2023;jun2023;jul2023;aug2023;sep2023;oct2023;nov2023;dec2023;jan2024;feb2024;mar2024;apr2024;may2024;jun2024;jul2024;aug2024;sep2024
Челябинская область;Кыштым;Кыштым;50.6;50.6;51.33;51.5;50.58;51.37;52.33;52.55;52.41;53.45;53.45;53.45;53.14;54.19;57.01;60.34;64.59;67.91;68.57;70.36;72.85;74.93;76.21;78.26;81.94;85.51;85.71;86.7;85.3;86.28;86.28;87.15;92.06;86.91;79.22;77.58;77.58;78.1;79.36;79.36;80.62;79.34;79.34;80,51;82,25
Челябинская область;Магнитогорск;Магнитогорск;82.8;85.38;86.13;86.13;86.58;87.14;88.04;86.74;89.13;89.83;88.01;89.12;87.35;86.58;97.73;125.08;116.77;116.89;117.15;115.58;120.86;125.52;124.61;125.42;124.72;124.72;121.36;121.36;121.28;117.12;117.12;117.11;117.61;116.77;119.36;118.74;121.02;121.33;119.84;120.66;118.55;116.72;113.7;121,28;123,12
Челябинская область;Миасс;Миасс;62.15;62.84;63.02;61.6;60.5;60.5;59.18;59.38;59.03;59.83;59.49;59.91;60.76;60.55;60.88;72.42;72.94;76.47;82.82;83.43;85.57;94.37;97.87;98.86;100.35;101.53;101.59;100.31;105.8;101.1;103.71;105.21;106.72;108.85;108.85;112.2;110.62;108.78;106.51;107.49;106.51;106.51;106.6;97,9;101,71
;Сибирский федеральный округ;Сибирский федеральный округ;86.19;86.62;87.87;87.43;88.11;86.92;89.4;89.85;90.46;91.14;91.57;92.35;92.84;94.38;112.11;125.69;129.95;131.65;133.57;134.25;136.19;135.17;134.68;135.94;136.23;134.77;135.61;135.04;134.84;133.32;132.04;133.61;134.38;135.18;135.47;135.83;122.04;119.55;119.11;121.23;119.49;118.23;119.86;119,62;118,23
Республика Алтай;Другое;Республика Алтай;77.99;75.07;80.93;89.31;85.45;95.2;94.22;88.18;102.1;102.1;100.73;102.56;102.68;103.09;119.85;131.15;136.92;138.9;141.71;141.71;142.84;152.88;161.32;160.62;141.94;136.99;139.44;136.89;141.11;140.66;141.11;137.78;150.46;145.87;148.31;150.38;150.17;149.06;148.48;148.06;147.04;143.52;138.79;142,98;145,23
Республика Алтай;Горно-Алтайск;Горно-Алтайск;77.99;75.07;80.93;89.31;85.45;95.2;94.22;88.18;102.1;102.1;100.73;102.56;102.68;103.09;119.85;131.15;136.92;138.9;141.71;141.71;142.84;152.88;161.32;160.62;141.94;136.99;139.44;136.89;141.11;140.66;141.11;137.78;150.46;145.87;148.31;150.38;150.17;149.06;148.48;148.06;147.04;143.52;138.79;142,98;145,23
Республика Тыва;Другое;Республика Тыва;89.94;91.19;92.04;92.17;92.86;91.43;91.6;93.32;95.11;95.11;98.81;98.81;99.25;100.07;108.59;123.33;128.62;134.08;142.23;143.88;145.14;142.2;140.29;145.36;143.25;142.1;142.79;138.49;136.92;139.69;140.9;140.9;143.85;143.85;138.4;139.03;113.14;113.14;113.53;112.26;109.64;110.0;110.4;110,87;110,7
Республика Тыва;Кызыл;Кызыл;98.49;98.49;99.47;99.47;99.68;97.03;96.43;99.28;103.11;103.11;106.51;106.51;106.51;107.86;122.51;133.92;133.92;142.95;150.81;153.54;152.8;146.95;146.95;146.95;145.06;145.06;145.06;137.94;136.04;142.26;144.76;144.76;147.27;147.27;138.25;139.29;107.52;107.52;108.1;106.22;102.35;102.89;102.89;102,89;104,71
Республика Тыва;Шагонар;Шагонар;76.87;80.02;80.68;81.01;82.43;82.87;84.2;84.2;82.87;82.87;87.02;87.02;88.15;88.15;87.29;107.14;120.5;120.5;129.11;129.11;133.42;134.94;130.11;142.93;140.48;137.56;139.32;139.32;138.27;135.77;134.99;134.99;138.62;138.62;138.62;138.62;124.87;124.87;124.87;124.87;124.87;124.87;126.08;127,54;123,23
Республика Хакасия;Другое;Республика Хакасия;99.62;100.7;102.92;104.17;104.29;105.15;103.12;104.64;105.4;104.62;112.44;112.44;112.84;114.0;127.96;139.02;139.28;143.48;144.31;144.31;150.68;151.42;154.32;154.14;157.47;157.47;160.66;160.66;158.38;163.01;160.85;159.13;160.72;165.95;166.0;166.57;138.21;141.77;142.34;140.58;141.29;139.74;143.59;143,59;144,01
Республика Хакасия;Абакан;Абакан;102.54;104.13;106.46;107.87;107.87;107.87;107.06;109.3;109.3;107.75;118.26;118.26;118.26;119.96;132.93;146.14;146.14;148.79;150.01;150.01;159.29;159.05;161.81;162.5;166.44;166.44;169.58;169.58;167.2;171.72;168.54;168.54;168.54;172.13;172.09;172.09;146.9;152.14;152.14;150.25;150.25;149.38;156.25;156,25;153,58
Республика Хакасия;Черногорск;Черногорск;93.42;93.42;95.38;96.3;96.69;99.38;94.73;94.73;97.11;97.97;100.08;100.08;101.33;101.33;117.39;123.89;124.7;132.19;132.19;132.19;132.37;135.19;138.41;136.38;138.41;138.41;141.71;141.71;139.63;144.49;144.49;139.12;144.08;152.81;153.04;154.85;119.73;119.73;121.52;120.01;122.25;119.23;116.66;116,66;123,67
Алтайский край;Другое;Алтайский край;81.8;84.49;89.05;87.54;84.7;83.84;91.82;91.77;93.55;88.9;92.83;91.65;87.97;89.83;103.83;120.7;118.21;121.97;119.24;118.15;120.84;120.42;115.9;119.68;120.08;119.76;119.73;118.23;120.6;120.42;120.39;118.29;114.37;113.96;113.14;119.07;84.51;82.59;83.93;84.09;83.56;84.19;84.75;84,55;84,19
Алтайский край;Барнаул;Барнаул;72.25;73.96;81.29;81.5;78.43;75.75;83.24;81.12;82.95;76.12;80.2;79.18;85.96;85.77;99.68;115.74;121.8;124.78;120.17;120.03;122.74;120.52;112.53;119.84;120.15;123.35;123.35;120.77;124.96;125.11;126.2;123.42;114.22;117.37;116.38;122.66;76.63;74.6;75.26;74.27;74.21;75.15;76.13;76,98;75,83
Алтайский край;Бийск;Бийск;112.44;120.02;120.31;111.16;109.91;107.27;124.61;126.86;127.93;129.66;131.28;131.28;96.43;104.77;127.09;146.28;115.5;121.29;117.62;117.62;117.62;117.62;117.62;113.28;113.28;106.75;106.75;107.17;105.45;104.25;101.24;101.24;102.41;102.41;101.24;104.04;85.56;83.22;85.78;88.31;86.53;87.45;87.37;84,63;85,25
Алтайский край;Рубцовск;Рубцовск;71.76;70.99;72.02;75.24;70.98;78.84;75.46;79.24;81.89;75.8;82.4;79.07;83.05;82.89;85.55;101.97;109.68;113.28;118.34;112.43;118.8;123.97;125.07;128.08;129.31;125.62;125.45;124.95;126.8;126.92;127.25;124.5;131.55;118.39;118.66;127.75;97.1;95.71;98.07;99.71;99.0;98.15;98.12;97,84;98,86
Красноярский край;Другое;Красноярский край;94.82;93.47;96.86;97.2;92.45;95.05;95.04;96.97;97.08;98.2;99.8;97.86;105.46;104.26;118.79;139.22;141.25;143.64;145.74;150.03;148.63;145.34;147.75;147.29;149.99;148.38;153.2;152.07;149.13;148.26;144.98;145.79;149.71;145.81;147.44;146.43;129.06;128.05;127.26;127.85;129.2;128.1;127.4;126,44;125,8
Красноярский край;Красноярск;Красноярск;93.63;87.99;94.45;93.56;88.03;91.68;92.3;93.82;93.67;95.97;93.18;90.17;102.37;96.83;103.19;127.46;132.1;129.94;132.82;138.93;135.67;129.04;137.26;132.95;134.06;128.94;141.2;141.2;137.17;137.17;130.74;129.0;135.15;128.92;129.97;128.27;113.91;113.91;112.25;111.03;112.26;113.84;113.0;110,73;109,01
Красноярский край;Ачинск;Ачинск;74.18;75;75.31;76.71;76.06;77.26;77.26;79.07;80.4;80.4;85.32;86.18;87.39;86.34;100.04;117.7;124.1;127.59;135.15;136.92;139.6;138.33;134.82;143.69;139.62;146.84;146.17;147.07;137.46;137.15;133.44;141.83;136.62;138.06;140.44;139.13;119.96;118.68;117.92;118.83;119.1;119.14;119.31;124,21;122,32
Красноярский край;Канск;Канск;98.56;102.76;105.7;106.39;92.62;97.27;97.27;97.27;97.27;99.97;106.29;101.46;103.58;114.51;124.99;141.38;139.69;157.23;154.02;154.02;154.02;154.02;154.02;152.21;152.21;152.21;152.21;146.3;146.3;146.3;146.3;151.73;148.77;140.08;145.28;149.29;135.7;128.88;133.92;139.97;146.36;140.15;137.26;140,01;133,77
Красноярский край;Лесосибирск;Лесосибирск;116.31;117.61;120.35;121.53;121.8;125.48;120.29;127.41;126.39;129.12;127.91;131.43;123.5;124.9;141.57;161.46;161.46;168.71;171.27;171.27;167.0;167.0;167.0;170.6;172.68;172.68;172.68;172.68;172.68;174.67;174.67;174.67;185.95;181.05;179.73;184.59;146.28;146.28;146.28;146.28;146.28;146.28;146.28;141,84;145,51
Красноярский край;Минусинск;Минусинск;92.01;95.73;95.73;97.34;91.02;91.02;91.02;92.51;93.89;93.09;101.44;97.3;108.1;108.49;145.06;153.91;153.12;155.81;155.81;155.81;155.81;156.11;155.42;156.75;158.03;160.82;156.24;152.69;152.69;148.31;148.31;148.31;151.6;154.16;157.2;159.67;138.39;137.82;137.82;140.1;140.1;140.1;140.1;140,1;140,1
Красноярский край;Норильск;Норильск;115.04;114.49;113.9;115.66;119.13;120.04;120.56;124.11;122.33;119.66;122.7;125.91;132.28;133.57;155.63;186.15;179.37;180.96;180.96;195.39;195.39;193.52;185.08;186.21;212.23;205.99;205.99;205.97;206.45;203.38;204.54;204.54;213.73;210.19;208.83;195.19;186.0;186.0;180.0;180.0;180.19;166.73;166.73;161,04;171,42
Иркутская область;Другое;Иркутская область;91.36;91.85;95.87;95.48;96.98;97.25;99.79;101.62;102.98;103.38;102.06;102.46;103.49;105.08;118.17;134.79;140.69;138.34;150.52;155.68;155.94;154.06;155.89;158.6;159.72;156.43;157.41;154.66;154.94;155.59;156.69;156.52;158.74;160.48;163.3;161.43;148.8;142.01;142.75;144.92;144.87;143.4;144.43;145,46;143,19
Иркутская область;Иркутск;Иркутск;108.87;109.08;116.96;115.77;119.36;120.07;126.24;129.81;133.41;133.64;130.33;136.93;131.59;135.15;150.82;166.13;174.18;158.8;182.24;187.6;189.25;187.12;189.99;191.39;193.56;185.06;185.21;179.86;184.23;184.56;188.55;185.77;190.06;192.18;199.69;193.54;176.83;166.3;167.69;169.99;168.03;168.03;172.05;173,18;169,02
Иркутская область;Ангарск;Ангарск;78.47;79.73;82.38;82.38;82.38;82.38;83.63;83.63;83.63;85.14;85.14;76.4;76.4;76.4;91.43;119.84;114.83;127.58;127.58;131.38;131.38;131.38;126.11;126.11;126.11;126.11;128.79;128.79;130.07;131.23;129.73;131.38;130.21;131.63;131.63;131.63;131.63;136.1;136.1;135.65;137.24;137.24;137.24;139,8;139,8
Иркутская область;Братск;Братск;75.81;75.81;75.81;75.81;75.81;75.81;75.81;75.81;75.81;75.81;77.28;77.28;85.84;85.84;95.73;107.99;112.96;115.12;118.49;123.12;124.6;119.1;126.68;131.55;131.9;132.0;132.0;131.72;123.54;124.74;123.42;125.95;129.86;130.8;130.08;132.75;116.72;115.29;114.89;120.03;123.44;118.63;116.71;118,01;118,01
Иркутская область;Зима;Зима;94.79;92.89;92.89;92.89;94.4;94.4;92.89;94.24;92.31;88.34;88.34;88.34;85.95;87.54;89.49;103.97;111.93;113.12;138.91;144.81;143.34;145.59;148.25;175.2;179.52;179.98;180.4;180.4;179.94;179.94;184.06;184.06;183.44;188.76;188.76;188.76;182.29;121.99;121.99;121.99;114.04;113.48;109.25;109,25;106,17
Иркутская область;Тайшет;Тайшет;90.68;97.06;100.09;100.37;102.35;102.35;102.35;106.1;105.64;105.88;106.82;106.91;110.05;110.05;124.06;128.87;144.32;156.22;163.17;166.16;166.95;167.74;169.96;168.5;168.5;168.5;170.07;170.07;170.07;170.07;170.07;170.38;170.07;170.07;170.07;170.07;136.53;136.53;138.34;141.82;140.51;137.37;137.37;135,94;133,91
Иркутская область;Усть-Илимск;Усть-Илимск;89.51;88.28;92.51;93.08;93.08;93.08;93.08;96.7;98.37;100.09;93.8;93.8;93.8;95.44;103.35;110.41;136.13;131.82;142.26;153.61;143.43;143.43;144.69;144.69;144.69;145.27;148.36;139.8;139.8;139.8;139.24;139.24;139.24;141.24;141.24;141.24;126.98;117.38;119.88;121.29;122.36;118.33;118.33;115,32;109,87
Кемеровская область;Другое;Кемеровская область - Кузбасс;86.88;85.96;87.17;83.55;85.56;76.83;78.9;79.91;83.73;82.42;88.55;84.61;79.9;92.04;108.02;116.66;127.81;130.6;124.97;121.5;127.56;126.7;124.31;127.76;132.89;129.31;130.29;133.75;133.32;128.37;126.39;124.52;126.98;129.98;130.9;131.09;116.21;111.17;109.74;117.02;114.52;109.96;115.88;111,67;111,11
Кемеровская область;Кемерово;Кемерово;80.94;80.07;83.08;78.33;79.7;77.19;79.61;77.6;75.74;77.44;84.43;81.32;73.48;84.19;111.78;114.2;120.52;120.14;120.14;122.72;117.6;117.6;115.8;118.7;118.7;116.19;115.13;118.17;117.73;115.44;115.56;117.22;117.32;110.73;118.33;118.52;121.69;117.47;114.02;117.32;117.07;118.01;118.01;120,23;117,49
Кемеровская область;Новокузнецк;Новокузнецк;102.07;98.94;94.14;95.1;91.54;80.33;81.68;87.73;91.11;91.11;101.06;96.65;90.78;102.22;107.83;120.85;143.37;152.18;138.01;125.2;152.07;147.56;143.02;152.07;162.84;155.94;154.16;158.34;158.34;142.31;142.31;142.95;153.04;156.97;156.97;156.97;155.58;144.68;144.68;164.35;161.51;145.82;162.95;151,73;147,55
Кемеровская область;Прокопьевск;Прокопьевск;81.62;82.9;90.15;82.38;91.3;75.81;77.88;78.1;86.27;82.23;82.44;82.4;78.69;97.72;116.24;121.85;131.54;128.48;128.48;127.43;124.22;126.46;124.58;123.69;122.64;122.64;126.39;128.64;130.12;130.32;121.81;117.81;117.09;130.86;125.88;124.77;90.64;90.6;88.86;89.51;82.99;82.69;84.03;79,02;81,96
Кемеровская область;Юрга;Юрга;76.07;76.07;76.63;72.34;76.07;70.83;73.65;71.59;80.34;74.95;80.84;70.43;72.31;78.15;89.0;105.21;105.23;110.9;103.04;103.04;103.04;103.04;103.04;103.04;115.96;111.55;117.56;122.21;118.08;122.21;122.21;112.05;108.72;111.55;110.72;113.21;67.15;64.51;64.51;64.9;64.9;65.56;67.36;66,16;71,5
Новосибирская область;Другое;Новосибирская область;72.7;73.78;74.49;74.84;77.52;76.26;75.68;75.23;73.73;75.27;78.3;81.2;81.08;84.51;108.83;109.05;111.63;115.74;119.59;120.66;121.71;122.08;117.95;118.16;119.45;119.02;117.54;117.92;118.41;116.58;115.16;121.14;119.02;120.36;121.2;123.05;124.77;122.19;118.8;123.1;120.65;120.16;120.16;122,26;119,76
Новосибирская область;Новосибирск;Новосибирск;69.26;69.05;68.38;70.04;71.65;69.92;69.28;69.55;66.51;70.88;71.8;74.82;76.12;79.23;109.51;107.51;108.53;108.56;111.9;113.4;114.88;114.25;107.78;109.41;109.66;109.24;107.43;107.95;108.64;106.35;103.55;111.38;107.95;109.44;110.87;112.37;112.96;109.16;106.17;112.2;109.28;107.46;109.36;112,21;109,09
Новосибирская область;Бердск;Бердск;70.92;76.36;83.45;77.26;84.46;84.31;83.74;84.31;84.31;77.45;84.13;90.73;85.79;91.3;97.43;101.31;102.82;121.7;128.23;128.23;128.23;131.7;133.95;129.47;133.95;133.95;133.95;133.95;133.95;133.1;135.9;137.23;138.91;140.27;140.27;143.18;143.18;143.06;133.87;138.37;130.71;139.7;126.32;126,91;125,36
Новосибирская область;Куйбышев;Куйбышев;111.03;112.1;107.68;114.25;114.25;114.25;114.25;103.97;112.92;111.4;124.33;115.38;115.38;115.9;135.14;146.31;166.99;167.99;168.96;168.96;168.96;170.01;170.01;170.01;168.62;166.99;164.84;164.84;164.84;164.62;164.84;166.14;166.14;166.14;163.87;166.14;168.42;169.83;169.83;165.04;169.83;167.33;170.04;169,67;169,48
Омская область;Другое;Омская область;81.54;75.4;77.03;75.93;76.42;78.72;79.72;82.16;81.31;84.54;84.45;85.94;89.18;85.7;108.63;133.65;139.75;138.07;137.23;132.65;138.31;136.73;139.39;137.5;134.05;133.18;133.54;130.46;133.12;129.02;126.26;131.95;130.46;135.11;131.23;128.1;117.93;115.87;118.89;119.55;112.17;112.05;114.58;115,36;113,95
Омская область;Омск;Омск;79.85;71.9;76.37;74.73;76.33;77.91;81.64;81.73;79.97;82.73;84.94;85.56;88.9;85.23;110.35;139.77;144.81;143.51;143.28;136.82;143.74;141.9;144.03;142.2;138.1;135.93;135.06;131.72;135.11;131.58;126.51;133.9;131.46;135.59;131.05;126.52;118.26;115.88;121.0;121.95;114.48;114.27;117.45;117,26;114,9
Омская область;Исилькуль;Исилькуль;88.52;82.94;74.36;75.79;76.29;73.53;74.13;76.59;84.05;78.25;79.22;83.23;87.76;74.14;92.65;111.42;116.13;112.36;107.42;110.36;110.36;113.62;118.3;114.76;114.76;129.58;132.5;129.38;129.38;129.38;129.38;135.69;134.14;137.83;134.79;134.79;108.86;107.58;101.44;99.05;91.67;92.52;93.74;96,95;101,39
Омская область;Калачинск;Калачинск;97.67;100.2;90.3;90.05;88.38;95.85;80.57;97.38;98.75;108.06;98.53;105.26;98.87;109.36;128.14;136.97;152.65;152.26;152.26;152.26;152.26;148.62;156.09;156.09;152.94;148.69;151.81;151.81;149.87;148.07;149.87;149.19;149.05;160.41;154.1;158.48;155.15;151.06;148.51;148.1;142.42;137.41;143.5;143,79;144,82
Омская область;Тара;Тара;71.57;71.57;71.57;71.57;64.55;73.27;67.89;75.82;71.5;82.29;70.81;71.63;82.85;77.31;90.03;100.28;107.05;102.89;100.34;99.24;106.04;103.57;103.57;100.99;99.15;96.18;101.69;97.59;101.69;85.61;95.32;92.14;97.61;100.8;104.44;102.26;85.13;87.31;87.65;90.3;81.87;86.76;81.16;88,33;86,29
Томская область;Другое;Томская область;90.51;95.88;90.91;91.54;96.78;93.67;100.88;98.47;97.23;100.69;90.17;96.75;102.82;96.17;115.21;121.98;128.65;129.75;131.27;133.11;133.32;134.49;133.05;137.63;135.26;136.08;133.79;135.44;130.91;130.28;132.17;131.85;136.11;137.05;136.8;137.76;131.61;133.91;132.66;130.9;127.11;124.7;131.4;129,96;125,24
Томская область;Томск;Томск;84.83;92.32;85.82;86.58;93.75;89.44;99.29;95.95;93.42;98.72;85.55;94.39;102.34;93.24;116.34;124.58;134.18;135.2;134.97;136.06;136.06;138.65;136.65;141.94;141.94;141.94;138.16;139.3;134.44;133.29;134.44;133.63;138.71;140.9;140.9;140.9;132.73;137.29;135.71;133.81;127.99;124.69;133.5;131,54;125,48
Томская область;Асино;Асино;99.81;99.81;100.38;100.38;100.38;100.38;100.38;100.38;105.41;100.47;106.06;107.23;107.23;104.63;118.78;132.24;134.85;131.28;131.28;131.28;137.15;140.9;141.08;148.68;141.08;141.08;147.38;147.38;147.38;146.6;148.75;148.75;149.54;142.31;142.31;143.68;143.68;143.68;143.68;141.91;141.91;141.91;146.29;146,29;143,45
Томская область;Колпашево;Колпашево;115.37;115.37;116.84;116.23;116.17;116.48;116.48;116.76;117.45;117.76;107;107;107.18;109.05;110.11;106.07;101.48;102.78;115.14;121.89;118.98;110.11;110.11;110.11;96.4;101.23;99.74;106.01;98.56;100.78;107.33;111.27;115.91;120.82;120.82;120.82;118.99;110.66;111.64;110.09;111.64;110.78;109.77;109,77;110,67
Томская область;Стрежевой;Стрежевой;91.85;89.46;79.15;82.63;82.63;82.63;82.63;82.63;83.81;83.81;83.81;83.81;88.77;88.77;104.15;104.15;104.15;115.94;117.57;121.25;122.21;124.04;124.04;124.11;125.39;129.9;132.0;132.0;132.0;132.0;132.0;126.61;123.41;109.09;103.32;122.31;122.31;122.31;117.33;117.33;124.15;126.94;125.41;125,41;122,8
;Дальневосточный федеральный округ;Дальневосточный федеральный округ;119.13;121.9;122.94;123.23;121.92;124.05;122.95;124.45;125.11;128.47;128.94;133.52;128.47;130.63;159.14;174.89;177.71;190.28;192.03;193.61;193.13;196.27;198.4;195.02;198.68;199.25;199.4;199.39;199.73;200.22;199.19;200.05;200.31;202.13;204.64;207.22;180.46;179.86;181.18;182.68;182.75;183.77;183.86;183,86;183,55
Республика Бурятия;Республика Бурятия;Республика Бурятия;100.99;105.47;102.8;106.45;103.54;105.52;104.72;110.17;110.76;109.78;112.94;109.2;112.36;120.7;142.88;147.18;166.82;166.44;168.72;169.2;169.32;173.83;167.56;163.77;162.57;164.9;162.06;171.42;162.28;161.23;163.53;172.9;171.49;173.56;175.94;173.34;127.35;128.13;127.63;127.58;123.97;124.31;119.1;122,04;124,4
Республика Бурятия;Улан-Удэ;Улан-Удэ;96.94;102.75;98.8;103.31;99.98;103.64;100.78;107.72;108.42;107;111.73;106.46;109.37;120.74;139.43;142.93;167.76;167.76;166.78;166.78;166.78;169.47;162.88;156.72;155.26;157.93;155.26;167.24;155.13;153.79;156.0;168.56;163.73;164.7;167.82;165.07;115.57;116.49;115.87;115.87;111.84;111.87;106.84;110,58;112,48
Республика Бурятия;Селенгинск;Селенгинск;110.59;110.32;111.53;112.68;110.13;99.33;111.25;111.68;111.12;112.07;111.48;114.59;117.17;113.36;160.43;160.38;163.1;160.09;175.08;177.97;176.59;185.35;176.42;172.29;172.49;174.48;168.51;167.28;169.7;168.16;168.66;162.89;179.72;190.09;189.67;186.1;148.08;148.56;150.35;148.38;140.85;148.33;138.1;138,1;151,98
Республика Бурятия;Северобайкальск;Северобайкальск;121.28;121.28;123.88;123.88;123.88;129.53;128.29;128.29;129.56;129.56;124.96;124.46;130.45;130.45;147.4;164.18;164.18;164.18;176.03;177.18;180.39;194.11;194.11;210.33;210.33;210.33;210.33;212.09;212.09;214.14;219.72;222.92;225.34;225.34;225.34;225.34;200.27;200.27;197.77;199.76;204.98;198.44;198.44;198,44;189,41
Республика Саха;Другое;Республика Саха (Якутия);149.04;149.22;149.4;143.18;143.87;143.98;132.22;132.72;133.75;133.97;134.72;143.48;144.93;149.18;155.02;169.59;174.5;191.48;185.38;186.6;189.23;197.06;194.21;194.71;212.08;212.22;220.32;213.55;208.45;210.94;210.9;214.24;217.71;218.56;220.79;221.4;177.2;171.48;179.27;177.37;181.15;181.54;185.41;183,16;185,1
Республика Саха;Якутск;Якутск;173.9;173.9;173.9;162.65;162.65;162.65;142.52;142.52;143.92;143.98;145.27;159.85;159.85;166.87;170.47;191.37;199.32;222.69;212.97;213.14;213.14;223.6;216.21;216.21;225.44;225.44;236.17;223.77;216.74;218.87;217.91;221.36;223.08;224.58;228.36;229.18;168.9;159.53;171.39;163.67;168.9;168.1;173.56;169,58;171,77
Республика Саха;Зырянка;Зырянка;205.34;205.34;205.34;205.34;205.34;205.34;205.34;205.34;205.34;205.34;205.34;205.34;205.34;205.34;205.34;205.34;205.34;205.34;205.34;210.29;223.36;257.18;257.18;257.18;257.18;257.18;311.79;311.79;311.79;311.79;311.79;311.79;311.79;311.79;311.79;311.79;311.79;311.79;311.79;311.79;311.79;311.79;311.79;311,79;311,79
Республика Саха;Вилюйск;Вилюйск;109.72;111.21;112.36;119.65;119.95;120.38;123.35;125.94;128.47;129.84;131.17;134.51;136.85;136.85;139.32;166.6;166.6;168.01;168.01;168.01;133.62;133.62;133.62;133.62;133.62;133.62;133.62;133.62;133.62;159.69;159.69;187.34;190.98;190.98;190.98;196.07;196.07;196.07;196.07;196.07;214.03;218.28;223.91;227,91;237,55
Республика Саха;Усть-Нера;Усть-Нера;108.37;110.76;113.19;116.36;116.36;116.36;116.36;126.94;126.94;126.94;119.84;119.84;123.0;123.0;123.0;133.06;133.06;133.06;117.17;117.17;164.94;164.94;172.63;202.9;202.9;202.9;202.9;231.48;231.48;231.48;231.48;231.48;231.48;241.21;241.21;236.44;238.59;238.59;238.59;329.95;329.95;329.95;329.95;329,95;333,33
Республика Саха;Олекминск;Олекминск;130.48;130.48;130.48;130.48;130.48;130.48;130.48;130.48;130.48;130.48;130.48;130.48;130.48;132.29;132.29;143.73;147.21;160.35;160.35;175.9;196.36;196.36;198.3;198.3;198.3;198.3;198.3;208.82;190.09;190.09;190.09;190.09;226.46;226.46;226.46;226.46;207.12;207.12;207.12;207.12;207.12;207.12;212.06;212,06;213,74
Республика Саха;Мирный;Мирный;111.08;111.08;111.08;111.08;115.31;115.31;115.31;115.31;115.31;115.31;115.31;115.31;122.45;122.45;139.09;139.09;139.09;153.15;153.15;153.15;164.98;164.98;164.98;158.16;231.73;232.89;233.97;227.48;229.3;229.3;229.3;229.3;229.3;227.08;227.08;227.08;166.68;166.68;167.41;171.58;169.56;175.04;175.04;175,04;174,9
Республика Саха;Нерюнгри;Нерюнгри;86.78;87.23;87.77;87.77;89.02;89.72;89.53;90.51;91.2;92.19;92.96;92.96;96.08;96.08;108.67;108.67;108.67;113.43;113.43;113.43;113.43;118.69;128.38;133.38;156.77;156.77;156.77;156.77;156.77;156.77;161.01;161.01;161.01;161.11;161.11;161.11;162.92;162.92;167.09;167.09;167.09;167.09;167.09;167,09;167,09
Забайкальский край;Другое;Забайкальский край;118.32;119.01;120.18;121.42;119.12;116.93;121.11;123.63;124.12;124.23;125.99;126.72;133.1;135.17;152.59;168.03;165.46;165.54;178.4;180.65;177.33;177.86;180.24;180.47;175.73;185.02;173.46;170.92;164.44;166.06;158.24;165.97;165.67;166.01;173.75;175.62;170.22;171.82;164.92;167.65;168.78;173.85;177.75;179,14;177,9
Забайкальский край;Чита;Чита;122.46;123.47;125.08;126.34;124.38;124.97;127.44;132.04;132.48;132.08;135.03;135.11;134.7;137.68;158.37;174.65;170.45;170.45;188.5;188.5;181.89;181.64;184.6;184.76;177.97;191.6;175.78;172.88;162.26;165.19;155.76;165.92;165.4;165.05;174.97;175.77;170.17;171.71;162.62;163.99;166.77;173.82;176.91;180,78;179,36
Забайкальский край;Агинское;Агинское;128.53;128.53;128.53;131.24;126.48;107.39;126.48;126.48;129.31;132.54;127.92;132.54;132.54;132.54;136.23;134.03;134.03;134.03;134.03;147.52;158.91;165.46;165.46;165.46;165.46;165.46;165.46;165.46;174.2;174.2;162.08;165.63;166.21;171.17;164.0;171.17;158.31;162.1;158.98;171.17;162.1;160.16;171.17;158,98;158,98
Забайкальский край;Краснокаменск;Краснокаменск;89.42;89.42;89.87;90.05;89.21;89.01;89.09;84.79;84.79;84.79;84.79;84.79;132.43;132.41;146.44;178.23;182.3;182.84;185.73;188.44;184.9;181.41;181.41;183.16;176.16;173.57;176.07;172.4;172.4;168.89;171.0;171.89;171.89;171.89;183.3;186.6;186.29;187.4;187.01;189.01;190.02;191.71;194.63;194,63;192,71
Забайкальский край;Могоча;Могоча;115.16;115.16;115.44;115.44;110.89;110.89;109.23;109.23;105.19;103.87;112.08;113.21;113.21;114.36;133.94;139.03;132.96;132.96;137.22;138.3;141.29;147.84;155.7;153.09;163.98;164.12;144.16;144.69;144.42;145.32;145.32;145.32;145.32;145.32;145.32;145.32;148.71;146.35;147.28;149.71;150.87;150.87;152.16;152,16;153,27
Камчатский край;Другое;Камчатский край;124.29;131.63;135.59;135.59;133.3;136.15;136.12;138.8;136.42;144.22;144.22;157.22;153.41;153.68;163.32;204.56;209.75;228.7;228.52;226.62;226.62;223.9;224.66;224.66;225.47;229.03;225.72;226.87;233.75;233.93;233.56;224.33;228.84;232.88;235.47;234.65;235.64;235.66;235.66;242.42;242.21;242.21;242.21;242,04;243,86
